Charlotte Lola father, is husband of, Linlin
Chicken, is wife of, Gyoru
Didit, is wife of, Outlook III
Igaram, is husband of, Terracotta
Herb, is wife of, Kalgara
Ipponume, is wife of, Ipponmatsu
Jinbe, is husband of, Charlotte Praline
Kozuki Oden, is husband of, Kozuki Toki
Big Mom, is wife of, Pound
Livia, is wife of, Acier
Marine Chef, is wife of, Moda
Oran, is husband of, Roji
Outlook III, is husband of, Didit
Pound, is husband of, Big Mom
Rayleigh, is husband of, Shakuyaku
Roji, is wife of, Oran
Russian, is wife of, Senor Pink
Otohime, wife of, Neptune
Senor Pink, is husband of, Russian
Tsuru, is wife of, Kin'emon
Charlotte Chiffon, is wife of, Capone Bege
Terracotta, is wife of, Igaram
Vinsmoke Sora, is wife of, Vinsmoke Judge
